drug,drugbank_id,causes_AE
Acyclovir,DB00787,1
Adenosine,DB00640,0
Allopurinol,DB00437,1
Amylases,,0
Benzocaine,DB01086,0
benzonatate,DB00868,0
candesartan,DB00796,1
Captopril,DB01197,1
Chlorazepate,DB00628,0
Cyclosporine,DB00091,1
darbepoetin alfa,DB00012,0
darifenacin,DB00496,0
Dicyclomine,DB00804,0
Diflunisal,DB00861,1
eletriptan,DB00216,0
Endopeptidases,,0
Etodolac,DB00749,1
gatifloxacin,DB01044,0
Griseofulvin,DB00400,0
Hydrochlorothiazide,DB00999,1
Hyoscyamine,DB00424,0
Ibuprofen,DB01050,1
Imipramine,DB00458,0
Ketoconazole,DB01026,0
Ketoprofen,DB01009,1
Ketorolac,DB00465,1
Ketotifen,DB00920,0
Lactulose,DB00581,0
Lipase,,0
Lisinopril,DB00722,1
Loratadine,DB00455,0
meloxicam,DB00814,1
metaxalone,DB00660,0
Methenamine,,0
Methocarbamol,DB00423,0
moexipril,DB00691,1
Naproxen,DB00788,1
Neostigmine,DB01400,0
Nortriptyline,DB00540,0
Olmesartan medoxomil,DB00275,1
orlistat,DB01083,0
oxaprozin,DB00991,1
Penicillin V,DB00417,0
Phentermine,DB00191,0
Piroxicam,DB00554,1
Prilocaine,DB00750,0
Prochlorperazine,DB00433,0
ramelteon,DB00980,0
rizatriptan,DB00953,0
Scopolamine,DB00747,0
telmisartan,DB00966,1
Temazepam,DB00231,0
Urea,DB03904,0
