drug,drugbank_id,causes_AE
abacavir,DB01048,1
Acetazolamide,DB00819,1
Adenosine,DB00640,0
Allopurinol,DB00437,1
almotriptan,DB00918,0
Amylases,,0
Benzocaine,DB01086,0
benzonatate,DB00868,0
bortezomib,DB00188,1
Busulfan,DB01008,1
Captopril,DB01197,1
Carbamazepine,DB00564,1
celecoxib,DB00482,1
Ciprofloxacin,DB00537,1
Cosyntropin,DB01284,0
Cyclosporine,DB00091,1
Dicyclomine,DB00804,0
Didanosine,DB00900,1
Diltiazem,DB00343,1
Disulfiram,DB00822,1
Droperidol,DB00450,0
efavirenz,DB00625,1
Endopeptidases,,0
Ergotamine,DB00696,0
Erythromycin,DB00199,1
Etodolac,DB00749,1
Flavoxate,DB01148,0
Fluconazole,DB00196,1
fluticasone,DB00588,0
gatifloxacin,DB01044,0
gemcitabine,DB00441,1
gemifloxacin,DB01155,1
Griseofulvin,DB00400,0
Hyoscyamine,DB00424,0
Ibuprofen,DB01050,1
imatinib,DB00619,1
Indomethacin,DB00328,1
infliximab,DB00065,1
interferon beta 1a,DB00060,1
Isoniazid,DB00951,1
Itraconazole,DB01167,1
Ketorolac,DB00465,1
Ketotifen,DB00920,0
Lactulose,DB00581,0
Lamivudine,DB00709,1
lamotrigine,DB00555,1
Levofloxacin,DB01137,1
Lipase,,0
Lisinopril,DB00722,1
Methenamine,,0
Methimazole,DB00763,1
Methotrexate,DB00563,1
Methyldopa,DB00968,1
Miconazole,DB01110,0
moexipril,DB00691,1
Naproxen,DB00788,1
nefazodone,DB01149,1
Neostigmine,DB01400,0
Nevirapine,DB00238,1
Nicotinic Acid,DB00627,1
Nifedipine,DB01115,1
Nitrofurantoin,DB00698,1
Norfloxacin,DB01059,1
Nortriptyline,DB00540,1
Ofloxacin,DB01165,1
orlistat,DB01083,1
oxaprozin,DB00991,1
oxybutynin,DB01062,0
Penicillin V,DB00417,0
Phentermine,DB00191,0
pioglitazone,DB01132,1
Piroxicam,DB00554,1
Primidone,DB00794,0
Propylthiouracil,DB00550,1
quinapril,DB00881,1
Ramipril,DB00178,1
Rifampin,DB01045,1
salmeterol,DB00938,0
Scopolamine,DB00747,0
sitagliptin,DB01261,0
"Sodium Phosphate, Monobasic",,0
Stavudine,DB00649,1
Sucralfate,DB00364,0
Sulfisoxazole,DB00263,1
Sulindac,DB00605,1
Tamoxifen,DB00675,1
terbinafine,DB00857,1
Tetrahydrocannabinol,,0
Tinidazole,DB00911,0
Tolmetin,DB00500,1
trandolapril,DB00519,1
Valproate,DB00313,1
voriconazole,DB00582,1
zafirlukast,DB00549,1
Zidovudine,DB00495,1
