drug,drugbank_id,causes_AE
Acarbose,DB00284,0
Acetazolamide,DB00819,0
almotriptan,DB00918,1
Amlodipine,DB00381,1
Amylases,,0
benzonatate,DB00868,0
bromfenac,DB00963,0
Bromocriptine,DB01200,1
Chlorazepate,DB00628,0
Clindamycin,DB01190,0
Cosyntropin,DB01284,0
darbepoetin alfa,DB00012,1
darifenacin,DB00496,0
Desipramine,DB01151,1
Dicyclomine,DB00804,0
Diflunisal,DB00861,1
Dipyridamole,DB00975,1
Droperidol,DB00450,0
eletriptan,DB00216,1
Endopeptidases,,0
Epoetin Alfa,DB00016,1
Estradiol,DB00783,1
"Estrogens, Conjugated (USP)",DB00286,1
estropipate,DB04574,1
Etodolac,DB00749,1
Fenoprofen,DB00573,1
Flavoxate,DB01148,0
Flurbiprofen,DB00712,1
fluticasone,DB00588,0
frovatriptan,DB00998,1
gatifloxacin,DB01044,0
Hyoscyamine,DB00424,0
Imipramine,DB00458,1
Indomethacin,DB00328,1
Ketoconazole,DB01026,0
Ketoprofen,DB01009,1
Ketorolac,DB00465,1
Ketotifen,DB00920,0
Lactulose,DB00581,0
Lipase,,0
Loratadine,DB00455,0
Mebendazole,DB00643,0
metaxalone,DB00660,0
Methenamine,,0
Methimazole,DB00763,0
Methocarbamol,DB00423,0
Miconazole,DB01110,0
moexipril,DB00691,1
nabumetone,DB00461,1
naratriptan,DB00952,1
Nevirapine,DB00238,0
Nifedipine,DB01115,1
Nortriptyline,DB00540,1
oxaprozin,DB00991,1
oxybutynin,DB01062,0
Penicillin V,DB00417,0
Piroxicam,DB00554,1
Prilocaine,DB00750,0
Primidone,DB00794,0
Prochlorperazine,DB00433,0
ramelteon,DB00980,0
rizatriptan,DB00953,1
salicylsalicylic acid,DB01399,1
salmeterol,DB00938,0
Scopolamine,DB00747,0
sitagliptin,DB01261,0
"Sodium Phosphate, Monobasic",,0
Sucralfate,DB00364,0
Sulfasalazine,DB00795,0
Sulindac,DB00605,1
Sumatriptan,DB00669,1
Temazepam,DB00231,0
terbinafine,DB00857,0
Tetrahydrocannabinol,,0
Tinidazole,DB00911,0
Tolmetin,DB00500,1
Urea,DB03904,0
zafirlukast,DB00549,0
zolmitriptan,DB00315,1
